Student_ID,Department,Level,Gender,Age,State_of_Origin,First_Name,Last_Name,Email,Phone_Number,Session,Semester,Course_Code,Course_Title,Credit_Unit,Attendance_Rate,CA_Score,Exam_Score,Total_Score,Grade,GP
P/ND/23/94170,Civil Engineering,ND1,Male,19,Gombe,Faith,Ogunleye,faith.ogunleye@yabatech.edu.ng,(918)591-0311x850,2024/2025,1st Semester,MEC 101,Workshop Technology,2,56,11,25,36,F,0.0
P/ND/23/94170,Civil Engineering,ND1,Male,19,Gombe,Faith,Ogunleye,faith.ogunleye@yabatech.edu.ng,(918)591-0311x850,2024/2025,1st Semester,CEC 101,Engineering Drawing,3,51,13,32,45,D,2.25
P/ND/23/94170,Civil Engineering,ND1,Male,19,Gombe,Faith,Ogunleye,faith.ogunleye@yabatech.edu.ng,(918)591-0311x850,2024/2025,1st Semester,CEC 110,Fluid Mechanics,4,34,9,22,31,F,0.0
P/ND/23/76174,Electrical Engineering,ND2,Female,28,Lagos,Joy,Oshodi,joy.oshodi@yabatech.edu.ng,907.384.9642x79677,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,68,24,58,82,A,4.0
P/ND/23/76174,Electrical Engineering,ND2,Female,28,Lagos,Joy,Oshodi,joy.oshodi@yabatech.edu.ng,907.384.9642x79677,2024/2025,1st Semester,MEC 112,Mechanical Workshop,2,91,25,58,83,A,4.0
P/ND/23/76174,Electrical Engineering,ND2,Female,28,Lagos,Joy,Oshodi,joy.oshodi@yabatech.edu.ng,907.384.9642x79677,2024/2025,1st Semester,EEC 111,Electrical Science,3,88,25,58,83,A,4.0
P/ND/23/76174,Electrical Engineering,ND2,Female,28,Lagos,Joy,Oshodi,joy.oshodi@yabatech.edu.ng,907.384.9642x79677,2024/2025,1st Semester,EEC 115,Electrical Graphics,2,58,26,60,86,A,4.0
P/ND/23/76174,Electrical Engineering,ND2,Female,28,Lagos,Joy,Oshodi,joy.oshodi@yabatech.edu.ng,907.384.9642x79677,2024/2025,1st Semester,GNS 101,Use of English,2,63,27,63,90,A,4.0
P/HN/23/81377,Computer Science,HND2,Male,29,Osun,Deborah,Ibrahim,deborah.ibrahim@yabatech.edu.ng,301-827-8461x26591,2024/2025,1st Semester,COM 101,Intro to Computing,4,89,22,52,74,AB,3.5
P/HN/23/81377,Computer Science,HND2,Male,29,Osun,Deborah,Ibrahim,deborah.ibrahim@yabatech.edu.ng,301-827-8461x26591,2024/2025,1st Semester,COM 113,Intro to Programming,4,69,24,56,80,A,4.0
P/HN/23/81377,Computer Science,HND2,Male,29,Osun,Deborah,Ibrahim,deborah.ibrahim@yabatech.edu.ng,301-827-8461x26591,2024/2025,1st Semester,COM 112,Digital Electronics,3,84,21,49,70,AB,3.5
P/HN/23/81377,Computer Science,HND2,Male,29,Osun,Deborah,Ibrahim,deborah.ibrahim@yabatech.edu.ng,301-827-8461x26591,2024/2025,1st Semester,STA 111,Intro to Statistics,2,72,19,46,65,B,3.25
P/HN/23/81377,Computer Science,HND2,Male,29,Osun,Deborah,Ibrahim,deborah.ibrahim@yabatech.edu.ng,301-827-8461x26591,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,68,24,56,80,A,4.0
F/ND/23/8523,Computer Science,ND2,Male,23,Plateau,James,Okafor,james.okafor@yabatech.edu.ng,(615)755-3803,2024/2025,1st Semester,STA 111,Intro to Statistics,2,29,9,23,32,F,0.0
F/ND/23/8523,Computer Science,ND2,Male,23,Plateau,James,Okafor,james.okafor@yabatech.edu.ng,(615)755-3803,2024/2025,1st Semester,COM 112,Digital Electronics,3,48,12,29,41,E,2.0
F/ND/23/8523,Computer Science,ND2,Male,23,Plateau,James,Okafor,james.okafor@yabatech.edu.ng,(615)755-3803,2024/2025,1st Semester,COM 101,Intro to Computing,4,60,13,31,44,E,2.0
F/ND/23/8523,Computer Science,ND2,Male,23,Plateau,James,Okafor,james.okafor@yabatech.edu.ng,(615)755-3803,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,41,12,29,41,E,2.0
F/ND/23/8523,Computer Science,ND2,Male,23,Plateau,James,Okafor,james.okafor@yabatech.edu.ng,(615)755-3803,2024/2025,1st Semester,GNS 101,Use of English,2,37,8,20,28,F,0.0
P/ND/23/50462,Science Lab Tech,ND2,Female,30,Sokoto,Joshua,Oyekan,joshua.oyekan@yabatech.edu.ng,(857)880-4426x14710,2024/2025,1st Semester,GLT 111,General Lab Techniques,4,55,17,40,57,C,2.75
P/ND/23/50462,Science Lab Tech,ND2,Female,30,Sokoto,Joshua,Oyekan,joshua.oyekan@yabatech.edu.ng,(857)880-4426x14710,2024/2025,1st Semester,GNS 101,Use of English,2,57,19,45,64,BC,3.0
P/ND/23/50462,Science Lab Tech,ND2,Female,30,Sokoto,Joshua,Oyekan,joshua.oyekan@yabatech.edu.ng,(857)880-4426x14710,2024/2025,1st Semester,STB 111,General Biology,3,63,17,41,58,C,2.75
P/ND/23/50462,Science Lab Tech,ND2,Female,30,Sokoto,Joshua,Oyekan,joshua.oyekan@yabatech.edu.ng,(857)880-4426x14710,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,55,18,42,60,BC,3.0
P/ND/23/50462,Science Lab Tech,ND2,Female,30,Sokoto,Joshua,Oyekan,joshua.oyekan@yabatech.edu.ng,(857)880-4426x14710,2024/2025,1st Semester,STC 112,General Chemistry,3,49,7,17,24,F,0.0
P/ND/23/77141,Civil Engineering,ND1,Female,17,Kogi,Simon,Eze,simon.eze@yabatech.edu.ng,631.569.7843x462,2024/2025,1st Semester,CEC 101,Engineering Drawing,3,99,19,46,65,B,3.25
P/ND/23/77141,Civil Engineering,ND1,Female,17,Kogi,Simon,Eze,simon.eze@yabatech.edu.ng,631.569.7843x462,2024/2025,1st Semester,CEC 110,Fluid Mechanics,4,100,17,41,58,C,2.75
P/ND/23/77141,Civil Engineering,ND1,Female,17,Kogi,Simon,Eze,simon.eze@yabatech.edu.ng,631.569.7843x462,2024/2025,1st Semester,MEC 101,Workshop Technology,2,64,21,49,70,AB,3.5
P/ND/23/35233,Business Administration,ND2,Male,28,Cross River,David,Abiola,david.abiola@yabatech.edu.ng,408-815-1795x209,2024/2025,1st Semester,ECO 101,Intro to Economics,2,100,20,46,66,B,3.25
P/ND/23/35233,Business Administration,ND2,Male,28,Cross River,David,Abiola,david.abiola@yabatech.edu.ng,408-815-1795x209,2024/2025,1st Semester,ACC 111,Intro to Accounting,3,84,19,45,64,BC,3.0
P/ND/23/35233,Business Administration,ND2,Male,28,Cross River,David,Abiola,david.abiola@yabatech.edu.ng,408-815-1795x209,2024/2025,1st Semester,BAM 101,Intro to Business Admin,3,100,17,41,58,C,2.75
F/HN/23/97156,Computer Science,HND2,Male,18,Bayelsa,Michael,Abiola,michael.abiola@yabatech.edu.ng,(711)382-0171x1674,2024/2025,1st Semester,COM 112,Digital Electronics,3,90,28,66,94,A,4.0
F/HN/23/97156,Computer Science,HND2,Male,18,Bayelsa,Michael,Abiola,michael.abiola@yabatech.edu.ng,(711)382-0171x1674,2024/2025,1st Semester,GNS 101,Use of English,2,61,29,68,97,A,4.0
F/HN/23/97156,Computer Science,HND2,Male,18,Bayelsa,Michael,Abiola,michael.abiola@yabatech.edu.ng,(711)382-0171x1674,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,93,30,70,100,A,4.0
F/HN/23/97156,Computer Science,HND2,Male,18,Bayelsa,Michael,Abiola,michael.abiola@yabatech.edu.ng,(711)382-0171x1674,2024/2025,1st Semester,COM 101,Intro to Computing,4,93,27,65,92,A,4.0
F/HN/23/97156,Computer Science,HND2,Male,18,Bayelsa,Michael,Abiola,michael.abiola@yabatech.edu.ng,(711)382-0171x1674,2024/2025,1st Semester,STA 111,Intro to Statistics,2,70,27,65,92,A,4.0
F/HN/23/83659,Computer Science,HND1,Male,25,Gombe,Mary,Ekwueme,mary.ekwueme@yabatech.edu.ng,622-619-6486x10280,2024/2025,1st Semester,COM 113,Intro to Programming,4,37,6,15,21,F,0.0
F/HN/23/83659,Computer Science,HND1,Male,25,Gombe,Mary,Ekwueme,mary.ekwueme@yabatech.edu.ng,622-619-6486x10280,2024/2025,1st Semester,COM 101,Intro to Computing,4,48,7,17,24,F,0.0
F/HN/23/83659,Computer Science,HND1,Male,25,Gombe,Mary,Ekwueme,mary.ekwueme@yabatech.edu.ng,622-619-6486x10280,2024/2025,1st Semester,GNS 101,Use of English,2,44,6,15,21,F,0.0
F/HN/23/83659,Computer Science,HND1,Male,25,Gombe,Mary,Ekwueme,mary.ekwueme@yabatech.edu.ng,622-619-6486x10280,2024/2025,1st Semester,STA 111,Intro to Statistics,2,19,3,7,10,F,0.0
F/HN/23/83659,Computer Science,HND1,Male,25,Gombe,Mary,Ekwueme,mary.ekwueme@yabatech.edu.ng,622-619-6486x10280,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,53,7,16,23,F,0.0
