Student_ID,Department,Level,Gender,Age,State_of_Origin,First_Name,Last_Name,Email,Phone_Number,Session,Semester,Course_Code,Course_Title,Credit_Unit,Attendance_Rate,CA_Score,Exam_Score,Total_Score,Grade,GP
F/ND/23/3714825,Science Lab Tech,ND1,Female,19,Delta,Hope,Obi,hope.obi4825@yabatech.edu.ng,965-968-8262x698,2024/2025,1st Semester,STB 111,General Biology,3,65,22,51,73,AB,3.5
F/ND/23/3714825,Science Lab Tech,ND1,Female,19,Delta,Hope,Obi,hope.obi4825@yabatech.edu.ng,965-968-8262x698,2024/2025,1st Semester,STC 112,General Chemistry,3,51,26,62,88,A,4.0
F/ND/23/3714825,Science Lab Tech,ND1,Female,19,Delta,Hope,Obi,hope.obi4825@yabatech.edu.ng,965-968-8262x698,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,76,23,54,77,A,4.0
F/ND/23/3714825,Science Lab Tech,ND1,Female,19,Delta,Hope,Obi,hope.obi4825@yabatech.edu.ng,965-968-8262x698,2024/2025,1st Semester,GLT 111,General Lab Techniques,4,81,23,54,77,A,4.0
F/ND/23/3216343,Computer Science,ND2,Female,23,Kebbi,Charity,Ogunleye,charity.ogunleye6343@yabatech.edu.ng,753.714.8342x04495,2024/2025,1st Semester,COM 211,Computer Programming II,4,100,26,62,88,A,4.0
F/ND/23/3216343,Computer Science,ND2,Female,23,Kebbi,Charity,Ogunleye,charity.ogunleye6343@yabatech.edu.ng,753.714.8342x04495,2024/2025,1st Semester,COM 212,Intro to Systems Programming,3,81,25,60,85,A,4.0
F/ND/23/3216343,Computer Science,ND2,Female,23,Kebbi,Charity,Ogunleye,charity.ogunleye6343@yabatech.edu.ng,753.714.8342x04495,2024/2025,1st Semester,COM 214,File Organization,2,78,25,60,85,A,4.0
F/ND/23/3216343,Computer Science,ND2,Female,23,Kebbi,Charity,Ogunleye,charity.ogunleye6343@yabatech.edu.ng,753.714.8342x04495,2024/2025,1st Semester,GNS 201,Use of English II,2,90,23,55,78,A,4.0
P/HN/23/3712514,Science Lab Tech,HND2,Male,29,Ondo,Angela,Adeyemi,angela.adeyemi2514@yabatech.edu.ng,591.626.3869x32457,2024/2025,1st Semester,STB 411,Virology,3,88,23,55,78,A,4.0
P/HN/23/3712514,Science Lab Tech,HND2,Male,29,Ondo,Angela,Adeyemi,angela.adeyemi2514@yabatech.edu.ng,591.626.3869x32457,2024/2025,1st Semester,STC 412,Biochemistry,4,57,19,45,64,BC,3.0
P/HN/23/3712514,Science Lab Tech,HND2,Male,29,Ondo,Angela,Adeyemi,angela.adeyemi2514@yabatech.edu.ng,591.626.3869x32457,2024/2025,1st Semester,GLT 402,Seminar,2,94,23,55,78,A,4.0
F/HN/23/3628384,Business Administration,HND1,Male,16,Gombe,Mark,Olawale,mark.olawale8384@yabatech.edu.ng,+1-399-234-6875x449,2024/2025,1st Semester,BAM 311,Human Capital Mgmt,3,77,22,53,75,A,4.0
F/HN/23/3628384,Business Administration,HND1,Male,16,Gombe,Mark,Olawale,mark.olawale8384@yabatech.edu.ng,+1-399-234-6875x449,2024/2025,1st Semester,BAM 314,Business Law,3,98,25,60,85,A,4.0
F/HN/23/3626940,Business Administration,HND2,Female,21,Ondo,Esther,Nnamani,esther.nnamani6940@yabatech.edu.ng,8274948007,2024/2025,1st Semester,BAM 411,Business Policy,3,26,7,17,24,F,0.0
F/HN/23/3626940,Business Administration,HND2,Female,21,Ondo,Esther,Nnamani,esther.nnamani6940@yabatech.edu.ng,8274948007,2024/2025,1st Semester,BAM 413,Entrepreneurship,2,42,6,15,21,F,0.0
F/HN/23/3614280,Accountancy,HND2,Female,26,Nasarawa,Mark,Obi,mark.obi4280@yabatech.edu.ng,(969)250-6702x4392,2024/2025,1st Semester,ACC 411,Adv. Financial Reporting,4,74,23,55,78,A,4.0
F/HN/23/3614280,Accountancy,HND2,Female,26,Nasarawa,Mark,Obi,mark.obi4280@yabatech.edu.ng,(969)250-6702x4392,2024/2025,1st Semester,ACC 415,Audit Practice,3,80,26,62,88,A,4.0
F/HN/23/3413995,Mechanical Engineering,HND1,Male,30,Nasarawa,Victoria,Oyekan,victoria.oyekan3995@yabatech.edu.ng,001-690-731-1883x8106,2024/2025,1st Semester,MEC 301,Strength of Materials,3,53,14,34,48,D,2.25
F/HN/23/3413995,Mechanical Engineering,HND1,Male,30,Nasarawa,Victoria,Oyekan,victoria.oyekan3995@yabatech.edu.ng,001-690-731-1883x8106,2024/2025,1st Semester,MEC 305,Auto Technology,3,23,8,20,28,F,0.0
P/ND/23/3628070,Business Administration,ND2,Male,27,Yobe,Gabriel,Oyekan,gabriel.oyekan8070@yabatech.edu.ng,001-884-823-2749,2024/2025,1st Semester,BAM 211,Principles of Management,3,100,28,66,94,A,4.0
P/ND/23/3628070,Business Administration,ND2,Male,27,Yobe,Gabriel,Oyekan,gabriel.oyekan8070@yabatech.edu.ng,001-884-823-2749,2024/2025,1st Semester,ACC 211,Financial Accounting,3,46,17,39,56,C,2.75
F/ND/23/3712537,Science Lab Tech,ND1,Male,26,Cross River,Joy,Oshodi,joy.oshodi2537@yabatech.edu.ng,(325)930-3045x763,2024/2025,1st Semester,STB 111,General Biology,3,100,26,61,87,A,4.0
F/ND/23/3712537,Science Lab Tech,ND1,Male,26,Cross River,Joy,Oshodi,joy.oshodi2537@yabatech.edu.ng,(325)930-3045x763,2024/2025,1st Semester,STC 112,General Chemistry,3,67,28,66,94,A,4.0
F/ND/23/3712537,Science Lab Tech,ND1,Male,26,Cross River,Joy,Oshodi,joy.oshodi2537@yabatech.edu.ng,(325)930-3045x763,2024/2025,1st Semester,MTH 111,Logic & Linear Algebra,2,71,26,62,88,A,4.0
F/ND/23/3712537,Science Lab Tech,ND1,Male,26,Cross River,Joy,Oshodi,joy.oshodi2537@yabatech.edu.ng,(325)930-3045x763,2024/2025,1st Semester,GLT 111,General Lab Techniques,4,40,17,40,57,C,2.75
P/HN/23/3624121,Business Administration,HND1,Male,22,Cross River,Patience,Okonkwo,patience.okonkwo4121@yabatech.edu.ng,359-970-1203x524,2024/2025,1st Semester,BAM 311,Human Capital Mgmt,3,72,17,41,58,C,2.75
P/HN/23/3624121,Business Administration,HND1,Male,22,Cross River,Patience,Okonkwo,patience.okonkwo4121@yabatech.edu.ng,359-970-1203x524,2024/2025,1st Semester,BAM 314,Business Law,3,100,20,47,67,B,3.25
F/HN/23/3716557,Science Lab Tech,HND1,Male,21,Cross River,Samuel,Adetokunbo,samuel.adetokunbo6557@yabatech.edu.ng,(490)725-3463x511,2024/2025,1st Semester,STB 311,Microbiology II,4,75,22,51,73,AB,3.5
F/HN/23/3716557,Science Lab Tech,HND1,Male,21,Cross River,Samuel,Adetokunbo,samuel.adetokunbo6557@yabatech.edu.ng,(490)725-3463x511,2024/2025,1st Semester,STC 313,Analytical Chemistry,4,97,21,50,71,AB,3.5
F/HN/23/3716557,Science Lab Tech,HND1,Male,21,Cross River,Samuel,Adetokunbo,samuel.adetokunbo6557@yabatech.edu.ng,(490)725-3463x511,2024/2025,1st Semester,GLT 301,Lab Management,2,70,17,40,57,C,2.75
F/HN/23/3711435,Science Lab Tech,HND1,Female,16,Imo,Hope,Akinwale,hope.akinwale1435@yabatech.edu.ng,(878)616-9752x327,2024/2025,1st Semester,STB 311,Microbiology II,4,85,28,67,95,A,4.0
F/HN/23/3711435,Science Lab Tech,HND1,Female,16,Imo,Hope,Akinwale,hope.akinwale1435@yabatech.edu.ng,(878)616-9752x327,2024/2025,1st Semester,STC 313,Analytical Chemistry,4,77,25,58,83,A,4.0
F/HN/23/3711435,Science Lab Tech,HND1,Female,16,Imo,Hope,Akinwale,hope.akinwale1435@yabatech.edu.ng,(878)616-9752x327,2024/2025,1st Semester,GLT 301,Lab Management,2,98,25,59,84,A,4.0
P/HN/23/3915478,Mass Communication,HND2,Male,24,Yobe,Daniel,Oyekan,daniel.oyekan5478@yabatech.edu.ng,001-629-825-5171x984,2024/2025,1st Semester,MAC 411,Media Law & Ethics,3,77,30,70,100,A,4.0
P/HN/23/3915478,Mass Communication,HND2,Male,24,Yobe,Daniel,Oyekan,daniel.oyekan5478@yabatech.edu.ng,001-629-825-5171x984,2024/2025,1st Semester,MAC 413,Documentary Production,4,80,28,67,95,A,4.0
